                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55802,                 1.5472,                 1.6864,                  1.319,                0.81851,                0.60062,                0.65824,                0.51242,                0.80954,                0.59798,                0.64823,                0.45676,                0.80395,                 1.9827,                 1.2932,                 1.6455,             0.00033207,             0.00033207,             0.00033207
                      2,                  0.618,                 1.6401,                0.93094,                  1.392,                 0.7192,                0.58167,                0.62107,                0.48562,                0.78399,                0.52195,                0.60234,                 0.4209,                0.82928,                 1.9611,                 1.3574,                 1.6845,             0.00059952,             0.00059952,             0.00059952
                      3,                0.60906,                 1.5952,                0.84657,                 1.3797,                0.83092,                0.68238,                0.70405,                0.55239,                0.82244,                0.67369,                0.68491,                0.46101,                0.78989,                 1.9426,                0.94519,                 1.6525,             0.00080098,             0.00080098,             0.00080098
                      4,                0.54341,                 1.4736,                0.71199,                 1.3076,                0.92221,                0.75419,                0.86583,                0.71184,                0.90482,                0.73256,                0.83223,                0.59717,                0.60428,                 1.6104,                0.62294,                   1.38,               0.000703,               0.000703,               0.000703
                      5,                0.49648,                 1.3763,                0.64867,                 1.2584,                0.80817,                0.77046,                 0.7757,                0.66608,                 0.7938,                0.76186,                0.76356,                0.59893,                0.56247,                 1.3772,                0.74864,                 1.3381,               0.000703,               0.000703,               0.000703
                      6,                0.45614,                 1.2574,                0.58541,                 1.2101,                0.92613,                0.75193,                0.82441,                0.72883,                0.92445,                0.74959,                0.81959,                0.67517,                0.46473,                 1.0138,                0.55552,                  1.202,               0.000604,               0.000604,               0.000604
                      7,                0.41421,                  1.116,                0.50978,                 1.1734,                 0.9473,                0.77917,                0.83996,                0.76263,                 0.9506,                0.77371,                0.83703,                 0.7229,                0.45041,                0.88528,                0.45852,                 1.1925,               0.000505,               0.000505,               0.000505
                      8,                0.35818,                 1.0179,                0.46504,                 1.1244,                0.87303,                0.80549,                 0.8706,                0.79907,                0.79635,                0.82382,                0.86557,                 0.7511,                0.38205,                 0.8631,                0.43326,                 1.1073,               0.000406,               0.000406,               0.000406
                      9,                0.32792,                 0.9284,                0.40878,                 1.0928,                0.95077,                0.89508,                0.92596,                0.86075,                0.94971,                0.89343,                0.92372,                0.81515,                0.35269,                 0.7693,                 0.3854,                  1.071,               0.000307,               0.000307,               0.000307
                     10,                0.30584,                0.84256,                0.37487,                 1.0732,                0.92387,                0.91822,                0.93862,                0.88101,                0.92181,                0.91613,                 0.9363,                0.83865,                0.32236,                0.74297,                0.35712,                 1.0469,               0.000208,               0.000208,               0.000208
